timestamp,model_id,block,total_blocks,layer,rank,cost_per_rank,binary_bits,pre_quant_loss,post_quant_loss,quant_jump,normalized_jump,final_tuned_loss,residual_jump,normalized_residual_jump,utility_per_bit
2026-07-11 11:19:53,google/gemma-3-4b-it,1,34,mlp.gate_proj,2208,12816,28297728,0.0,16.748323440551758,16.748323440551758,0.0,2.380356550216675,2.380356550216675,0.0,0.0
2026-07-11 11:22:14,google/gemma-3-4b-it,1,34,mlp.up_proj,2176,12816,27887616,4.560632228851318,17.2952823638916,12.734650135040283,2.792299290102536,6.803816318511963,2.2431840896606445,0.49185814095464414,1.7637152668576767e-08
2026-07-11 11:24:10,google/gemma-3-4b-it,1,34,mlp.down_proj,1792,12816,22966272,5.299342632293701,12.687615394592285,7.388272762298584,1.3941866519962565,7.742282867431641,2.4429402351379395,0.46098929709713216,2.007244785297031e-08
2026-07-11 11:25:38,google/gemma-3-4b-it,1,34,self_attn.v_proj,704,3600,2534400,8.306177139282227,11.305171966552734,2.998994827270508,0.36105596798404715,8.577754974365234,0.2715778350830078,0.03269588771453483,1.2900839533828452e-08
2026-07-11 11:27:06,google/gemma-3-4b-it,1,34,self_attn.o_proj,1056,4624,4882944,7.3773417472839355,9.148306846618652,1.7709650993347168,0.2400546375646378,7.626544952392578,0.24920320510864258,0.03377953924940375,6.917863331916924e-09
2026-07-11 11:28:45,google/gemma-3-4b-it,1,34,self_attn.q_proj,960,4624,4439040,7.06965970993042,8.450785636901855,1.3811259269714355,0.19535960479560743,7.060456275939941,-0.009203433990478516,-0.0013018213560620016,0.0
2026-07-11 11:30:24,google/gemma-3-4b-it,1,34,self_attn.k_proj,608,3600,2188800,7.629514217376709,19.987760543823242,12.358246326446533,1.6197946519713973,9.044044494628906,1.4145302772521973,0.18540240399978725,8.47050456870373e-08
2026-07-11 11:34:16,google/gemma-3-4b-it,2,34,mlp.gate_proj,2208,12816,28297728,25.59560203552246,53.913246154785156,28.317644119262695,1.106348039009299,30.929014205932617,5.333412170410156,0.20837221031207873,7.363566796319433e-09
2026-07-11 11:36:39,google/gemma-3-4b-it,2,34,mlp.up_proj,2208,12816,28297728,24.75985336303711,37.411922454833984,12.652069091796875,0.5109912771407843,29.227994918823242,4.468141555786133,0.18045912834267525,6.377159620117744e-09
2026-07-11 11:38:35,google/gemma-3-4b-it,2,34,mlp.down_proj,1792,12816,22966272,25.391357421875,34.43893051147461,9.04757308959961,0.3563249076949703,29.751920700073242,4.360563278198242,0.17173415370229705,7.477667847106272e-09
2026-07-11 11:40:03,google/gemma-3-4b-it,2,34,self_attn.v_proj,768,3600,2764800,29.237356185913086,35.429107666015625,6.191751480102539,0.21177535481425644,31.804410934448242,2.5670547485351562,0.0878005087810229,3.1756549761654696e-08
2026-07-11 11:41:32,google/gemma-3-4b-it,2,34,self_attn.o_proj,1024,4624,4734976,29.846759796142578,34.15312576293945,4.306365966796875,0.14428252836187042,31.1848201751709,1.3380603790283203,0.044831009736649954,9.468054270317305e-09
2026-07-11 11:43:11,google/gemma-3-4b-it,2,34,self_attn.q_proj,960,4624,4439040,30.219289779663086,36.297454833984375,6.078165054321289,0.2011352714983977,32.03028869628906,1.8109989166259766,0.05992857310116993,1.3500345367730395e-08
2026-07-11 11:44:47,google/gemma-3-4b-it,2,34,self_attn.k_proj,608,3600,2188800,31.341638565063477,37.51081466674805,6.16917610168457,0.19683642541144453,34.60150146484375,3.2598628997802734,0.10401060853959443,4.751946662079424e-08
2026-07-11 11:48:34,google/gemma-3-4b-it,3,34,mlp.gate_proj,2016,12816,25837056,20.83832550048828,121.44891357421875,100.61058807373047,4.828151286502026,27.498380661010742,6.660055160522461,0.31960606241448736,1.2370065011063465e-08
2026-07-11 11:50:47,google/gemma-3-4b-it,3,34,mlp.up_proj,1888,12816,24196608,21.1395206451416,41.75069808959961,20.611177444458008,0.9750068504602056,26.151382446289062,5.011861801147461,0.23708493136050907,9.798271367644137e-09
2026-07-11 11:52:42,google/gemma-3-4b-it,3,34,mlp.down_proj,1792,12816,22966272,21.946435928344727,32.946380615234375,10.999944686889648,0.5012178160866096,25.576425552368164,3.6299896240234375,0.1654022382438488,7.2019628716340556e-09
2026-07-11 11:54:06,google/gemma-3-4b-it,3,34,self_attn.v_proj,768,3600,2764800,25.029735565185547,33.67271423339844,8.64297866821289,0.34530842907643877,28.305118560791016,3.2753829956054688,0.13085967237150026,4.733061066677527e-08
2026-07-11 11:55:32,google/gemma-3-4b-it,3,34,self_attn.o_proj,960,4624,4439040,25.90156364440918,33.436344146728516,7.534780502319336,0.2909006037535386,28.6597843170166,2.758220672607422,0.10648857769645811,2.3989100728188553e-08
2026-07-11 11:57:11,google/gemma-3-4b-it,3,34,self_attn.q_proj,960,4624,4439040,26.883474349975586,33.53525161743164,6.651777267456055,0.247429970578267,29.390369415283203,2.506895065307617,0.09325041222991677,2.1006887126477068e-08
2026-07-11 11:58:45,google/gemma-3-4b-it,3,34,self_attn.k_proj,608,3600,2188800,28.477127075195312,35.945281982421875,7.4681549072265625,0.2622509948951844,31.8131103515625,3.3359832763671875,0.11714606138317088,5.3520678629007166e-08
2026-07-11 12:02:39,google/gemma-3-4b-it,4,34,mlp.gate_proj,2208,12816,28297728,18.529661178588867,135.9834442138672,117.45378303527832,6.338690270872133,26.92063331604004,8.390972137451172,0.4528400199323121,1.600269887152467e-08
2026-07-11 12:05:03,google/gemma-3-4b-it,4,34,mlp.up_proj,2208,12816,28297728,18.269336700439453,38.00592041015625,19.736583709716797,1.0803120021999513,23.063095092773438,4.793758392333984,0.26239367476426634,9.272605728780287e-09
2026-07-11 12:07:00,google/gemma-3-4b-it,4,34,mlp.down_proj,1792,12816,22966272,18.095529556274414,29.200674057006836,11.105144500732422,0.6136954691597761,20.79308319091797,2.6975536346435547,0.1490729313145859,6.490950351654196e-09
2026-07-11 12:08:28,google/gemma-3-4b-it,4,34,self_attn.v_proj,768,3600,2764800,19.629352569580078,33.05739974975586,13.428047180175781,0.6840799834114468,24.468753814697266,4.8394012451171875,0.2465390148739233,8.917065063437619e-08
2026-07-11 12:09:56,google/gemma-3-4b-it,4,34,self_attn.o_proj,960,4624,4439040,21.040983200073242,39.49030685424805,18.449323654174805,0.8768280207604835,26.066740036010742,5.0257568359375,0.2388556080364156,5.380794226598895e-08
2026-07-11 12:11:36,google/gemma-3-4b-it,4,34,self_attn.q_proj,960,4624,4439040,22.41697883605957,28.404752731323242,5.987773895263672,0.2671088704260112,25.341642379760742,2.924663543701172,0.130466445326549,2.939068927663391e-08
2026-07-11 12:13:13,google/gemma-3-4b-it,4,34,self_attn.k_proj,608,3600,2188800,24.174470901489258,30.112165451049805,5.937694549560547,0.24561838700654903,27.52597427368164,3.351503372192383,0.13863812721485105,6.333978765298384e-08
2026-07-11 12:16:58,google/gemma-3-4b-it,5,34,mlp.gate_proj,1952,12816,25016832,1698.505126953125,12776.3193359375,11077.814208984375,6.522096420666323,2608.816162109375,910.31103515625,0.5359483587719382,2.1423510329842653e-08
2026-07-11 12:19:19,google/gemma-3-4b-it,5,34,mlp.up_proj,2144,12816,27477504,1707.8309326171875,4946.16162109375,3238.3306884765625,1.8961658479355101,2266.746337890625,558.9154052734375,0.32726623847766967,1.191033357606534e-08
2026-07-11 12:21:13,google/gemma-3-4b-it,5,34,mlp.down_proj,1792,12816,22966272,2043.3460693359375,10844.33203125,8800.985961914062,4.307144097609601,2147.066162109375,103.7200927734375,0.05075992477727733,2.2101943570675e-09
2026-07-11 12:22:41,google/gemma-3-4b-it,5,34,self_attn.v_proj,768,3600,2764800,2308.126220703125,2869.410888671875,561.28466796875,0.24317763167985057,2351.474609375,43.348388671875,0.01878077042886752,6.7928133784966435e-09
2026-07-11 12:24:08,google/gemma-3-4b-it,5,34,self_attn.o_proj,960,4624,4439040,1955.2156982421875,2672.73974609375,717.5240478515625,0.36697948389870416,2125.919677734375,170.7039794921875,0.08730698083370382,1.9667986959726386e-08
2026-07-11 12:25:46,google/gemma-3-4b-it,5,34,self_attn.q_proj,960,4624,4439040,1946.8333740234375,2270.287353515625,323.4539794921875,0.1661436380781366,2077.510498046875,130.6771240234375,0.06712291137344367,1.5121042246396445e-08
2026-07-11 12:27:22,google/gemma-3-4b-it,5,34,self_attn.k_proj,608,3600,2188800,1998.5223388671875,2648.449951171875,649.9276123046875,0.3252040768646513,2158.212890625,159.6905517578125,0.07990431162672372,3.6505990326536786e-08
2026-07-11 12:31:05,google/gemma-3-4b-it,6,34,mlp.gate_proj,1888,12816,24196608,1192.69140625,7086.13525390625,5893.44384765625,4.941298157069915,1629.4100341796875,436.7186279296875,0.36616229951953466,1.513279462640113e-08
2026-07-11 12:33:14,google/gemma-3-4b-it,6,34,mlp.up_proj,1792,12816,22966272,1247.3370361328125,3209.776611328125,1962.4395751953125,1.5733033801991254,1598.546630859375,351.2095947265625,0.2815675190848473,1.226004460300946e-08
2026-07-11 12:35:09,google/gemma-3-4b-it,6,34,mlp.down_proj,1792,12816,22966272,1330.5367431640625,2922.7265625,1592.1898193359375,1.1966522739910623,1366.086181640625,35.5494384765625,0.026718118578239865,1.1633633259346517e-09
2026-07-11 12:36:33,google/gemma-3-4b-it,6,34,self_attn.v_proj,768,3600,2764800,1322.852783203125,1793.9598388671875,471.1070556640625,0.3561296174796827,1463.46826171875,140.615478515625,0.10629714833055115,3.8446595895019945e-08
2026-07-11 12:38:00,google/gemma-3-4b-it,6,34,self_attn.o_proj,960,4624,4439040,1328.415283203125,2109.766357421875,781.35107421875,0.5881828401843788,1432.4127197265625,103.9974365234375,0.07828684135030047,1.763598466116558e-08
2026-07-11 12:39:39,google/gemma-3-4b-it,6,34,self_attn.q_proj,960,4624,4439040,1195.19140625,1512.7706298828125,317.5792236328125,0.2657141123773977,1349.8621826171875,154.6707763671875,0.1294108839457592,2.9152898812752125e-08
2026-07-11 12:41:12,google/gemma-3-4b-it,6,34,self_attn.k_proj,608,3600,2188800,1297.481201171875,1721.6199951171875,424.1387939453125,0.32689398009176057,1477.57470703125,180.093505859375,0.1388024009108694,6.341483959743668e-08
2026-07-11 12:45:04,google/gemma-3-4b-it,7,34,mlp.gate_proj,2176,12816,27887616,531.1640014648438,1450.9010009765625,919.7369995117188,1.7315499487451496,627.6620483398438,96.498046875,0.1816727914709539,6.514461166955035e-09
